mirna,log2FoldChange,pvalue,baseMean,padj,rank_score
hsa-miR-3655,1.1803058294377973,0.24476307722509438,3.763407277109992,0.5485188441648411,0.6112540953778357
hsa-miR-3143,0.3452226222535633,0.245228844846183,0.17261131112678166,0.5485188441648411,0.6104284476089599
hsa-miR-3713,0.9723175571484672,0.2452852412011326,2.646984597743666,0.5485188441648411,0.6103285824814999
hsa-miR-514a-3p,0.9107300183505316,0.24580867943914347,1.6040143896060337,0.5491941666748431,0.6094027863560887
hsa-miR-3922-3p,0.8599154322052822,0.2467848391051566,4.942175143710443,0.5508788487675863,0.6076815241169793
hsa-miR-566,0.706076227749358,0.2471519128334316,0.8944891968487017,0.5512021077580129,0.607036023965942
hsa-miR-3934,0.9212345648890712,0.24987943902175203,2.4652449930469933,0.5562845680196993,0.6022694777141343
hsa-miR-572,1.074295680816125,0.2501595724714396,2.548914018464347,0.5564087351831123,0.6017828739839163
hsa-miRPlus-E1093,1.0024825400386597,0.2518134408395385,9.929633712506522,0.5595854240878633,0.5989210926290497
hsa-miRPlus-C1066,0.5236845758951907,0.2521129566772551,0.6971536986449176,0.5597494472332969,0.5984048343360868
hsa-miR-1250,1.031157943371634,0.25335813347671643,2.966861256025101,0.5620066851435972,0.5962651491299413
hsa-miR-3192,1.0469990814082704,0.2535828551111634,3.098936265198221,0.5620066851435972,0.5958801127079738
hsa-miR-302a,1.8367218666935252,0.25413979158655375,3.593115497008023,0.5627381099416547,0.594927330567495
hsa-miR-3125,1.016565243543761,0.2552301570108041,2.557751041834506,0.5646483402201553,0.593068012358377
hsa-miR-302e,0.5211102394985021,0.25647068723261507,6.335749809173721,0.5668870805141581,0.5909622644726025
hsa-miR-802,0.9942790998903055,0.2576512003590519,1.562328104193356,0.5672320440407144,0.58896782988407
hsa-miR-4711-5p,0.9299208018387279,0.2579990909991636,0.6642291441705199,0.5672320440407144,0.5883818241714316
hsa-miR-3173-5p,2.3040637894513436,0.2585283936046908,3.7533729875244854,0.5678923083610569,0.5874917523431131
hsa-miR-372,0.8557096650374835,0.26135360183870254,1.2063036730873176,0.5715669599294376,0.5827715103054911
hsa-miR-1272,0.8533730335401586,0.26212940672693885,3.058299858057367,0.5727585274738399,0.5814842554255759
hsa-miRPlus-F1062,2.931301429265652,0.2626868902928594,1.4245536710131637,0.5732148423965493,0.5805616006647786
hsa-miR-4761-3p,1.0642954223480332,0.2641102446988778,1.2602110159628808,0.5741573189138691,0.5782147524095134
hsa-miR-4768-5p,1.0860311054919483,0.26420437633756716,1.2757365039228201,0.5741573189138691,0.5780599929156054
hsa-miR-3661,1.1716271139487535,0.2648781271594694,2.728809602727269,0.5746490099776779,0.57695390295662
hsa-miR-4778-3p,1.2941083844033763,0.2650800271832514,1.7168443820772754,0.5746490099776779,0.5766229935451945
hsa-miR-518f-5p,0.5262571756663545,0.2670332721139102,0.610468665332578,0.57637263531706,0.5734346225484853
hsa-miRPlus-F1214,3.024390830782232,0.26703716047552495,1.4245499728467166,0.57637263531706,0.5734282986859761
hsa-miRPlus-E1095,6.939775014220975,0.26744936194020136,1.224666178980172,0.5765209782127909,0.5727584338735827
hsa-miRPlus-F1070,5.517870362765123,0.2675708249689203,4.135964583199761,0.5765209782127909,0.572561242345768
hsa-miR-524-3p,0.8114708577265239,0.2685237632190407,1.587278008461673,0.5775706268718308,0.5710172750361591
hsa-miR-409-3p,0.8084258017624368,0.2694671704126025,1.840864263550017,0.578596175431389,0.569494137999074
hsa-miR-212-5p,1.0273327212681753,0.2698653385634098,2.6690388822800117,0.5789498612779034,0.5688528925361982
hsa-miRPlus-E1081,0.6613049427185693,0.27028614152218494,8.646691569965851,0.5793514528738277,0.5681762214664188
hsa-miR-3157-5p,0.6411548744531016,0.2724898414134613,1.0109051589266957,0.5820627103405547,0.5646496838472078
hsa-miR-3117-5p,1.13134233684865,0.27316125484227255,1.308101669177607,0.582994760764919,0.5635809008964393
hsa-miR-3150b-3p,1.0155237529664136,0.27340583425487225,3.5364505877127197,0.5830150205950845,0.5631922221834766
hsa-miRPlus-F1042,0.8770278622359147,0.2737299023053711,9.119306834003115,0.5831533692942846,0.5626777575885088
hsa-miR-141-5p,0.9512555501498294,0.2739683047703937,2.0655769962509396,0.5831533692942846,0.5622996775428455
