gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000098115,1.9876604171867314,-2.3822271678755,2.543260795304948,-0.9366822200355038,0.348922044713717,0.9999741508561834,-0.45727159118508165
ENSMUSG00000028737,174.61587744661844,-0.6614219210432624,0.7061326622993291,-0.9366822360114622,0.348922036493416,0.9999741508561834,-0.45727160141668344
ENSMUSG00000029060,185.49598577062883,-0.5161587427774861,0.5505306742726773,-0.9375658194875318,0.34846758385949983,0.9999741508561834,-0.4578376158607562
ENSMUSG00000092312,1.315468042953994,-3.3675830116288354,3.591767042744058,-0.937583916649575,0.3484582798962663,0.9999741508561834,-0.4578492115271033
ENSMUSG00000035726,354.0842394600783,-0.5046286595143381,0.5377107941229504,-0.9384759707817064,0.3479998600896105,0.9999741508561834,-0.45842093065779366
ENSMUSG00000081700,1.5560176327818696,-2.4717309199271247,2.6329697732607977,-0.9387616010745208,0.3478531579417202,0.9999741508561834,-0.45860404959988366
ENSMUSG00000022041,46.786765308538214,-0.42218998264989155,0.4497062336333309,-0.9388128317432335,0.3478268495943453,0.9999741508561834,-0.4586368967996726
ENSMUSG00000011877,529.354712175002,-0.45724194405030233,0.48698488243122323,-0.9389243086306248,0.3477696075406512,0.9999741508561834,-0.4587083747603588
ENSMUSG00000108218,10.460425230604821,-0.6520650604014582,0.6943281135484297,-0.9391310069082726,0.34766348629045674,0.9999741508561834,-0.45884091913921765
ENSMUSG00000047592,2.219293568783492,-1.4869818088947397,1.5832190497144405,-0.9392141972792338,0.34762078121968787,0.9999741508561834,-0.45889426876173667
ENSMUSG00000022091,53.88746644407575,-0.5399116064926321,0.5747031826759784,-0.9394616608501332,0.34749376762094353,0.9999741508561834,-0.4590529801734522
ENSMUSG00000004285,84.19866866556352,-0.6596600942511296,0.701729138013221,-0.9400494557184844,0.3471921933226346,0.9999741508561834,-0.4594300485733635
ENSMUSG00000019054,144.14227886543196,-0.7786115156703652,0.828048503223981,-0.9402969906217638,0.3470652428034663,0.9999741508561834,-0.4595888770070111
ENSMUSG00000085415,2.7844495436920407,-1.895635248187557,2.015983545665021,-0.9403029366304853,0.34706219370236,0.9999741508561834,-0.45959269246715745
ENSMUSG00000026817,3472.7993663837574,-0.38354853789157983,0.4078937655081374,-0.9403147837127903,0.3470561185936156,0.9999741508561834,-0.45960029458961404
ENSMUSG00000031995,11.172328308211243,-1.2152546646252889,1.2921857816729796,-0.9404643526195676,0.34697942642655166,0.9999741508561834,-0.45969627522154455
ENSMUSG00000102989,3.072677600365749,-1.41614984443176,1.5054282951642162,-0.9406956471993788,0.34686085027131786,0.9999741508561834,-0.4598447156397047
ENSMUSG00000102762,3.7067505426112324,-1.8461343925193674,1.9623978492365508,-0.9407543904706099,0.3468307388820543,0.9999741508561834,-0.4598824188796237
ENSMUSG00000039126,6274.885452400242,-0.5418378023212584,0.575915340971409,-0.9408289096924017,0.3467925432453902,0.9999741508561834,-0.4599302493221137
ENSMUSG00000029455,803.4957593516862,-0.7936226740494283,0.8432564215153039,-0.9411403860089373,0.3466329216639229,0.9999741508561834,-0.4601301922914923
ENSMUSG00000026390,5.276349717215031,-1.4355634848946381,1.525258410506031,-0.9411936200491856,0.34660564561387386,0.9999741508561834,-0.46016436764926866
