,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Asb5,371.1321921357954,0.6747567539846144,0.1183838420225515,5.699736910515851,1.1999246365175044e-08,3.9388830459596347e-08,7.920846029762705
Auh,2063.9454407520084,0.2320720864464691,0.0407184681550014,5.699430675118946,1.2020819433497616e-08,3.9452945833017816e-08,7.920065926400135
Rnls,156.0031596654599,0.5312402759455956,0.0932473381173638,5.697109286668979,1.2185582196514362e-08,3.994622331991682e-08,7.9141537164839075
Epm2a,1050.7828685459565,0.5012228411793236,0.0880131331902721,5.694864198229933,1.2347015732692373e-08,4.0434279918922086e-08,7.908437998472252
Mypop,154.86478905568111,0.5111253151115451,0.0897619521515104,5.694231273500043,1.2392900549636664e-08,4.057766929076359e-08,7.906827035409643
Rcan2,14022.519070351913,0.7564580462436499,0.1328495671220904,5.694094927298146,1.2402806838320391e-08,4.0603226722739924e-08,7.90648001996273
Scoc,869.2121412106221,0.3929826864389502,0.0690188147710775,5.693848666373073,1.2420718527347276e-08,4.0654978441417134e-08,7.90585327988924
Icosl,261.07177220271683,0.630212292561664,0.1106908451675364,5.693445484202457,1.2450098093539541e-08,4.073734483696161e-08,7.904827226775867
Rps17,6949.755803437033,0.2095388044651186,0.0368067779698595,5.692940703386383,1.2486976273408865e-08,4.083727198180144e-08,7.903542713487751
Fsd2,10292.207349820814,0.7224348530681682,0.1269438219712269,5.690980796465347,1.263117146850078e-08,4.13018579162888e-08,7.898556369261573
Tmem271rt,43.99234389947637,0.9568588318670675,0.1681845344823579,5.68933900380382,1.2753206347219172e-08,4.168678712650976e-08,7.894380613360055
Zscan2,178.60431596534144,0.3899133591406247,0.0685403459444984,5.688815160874193,1.2792384232096943e-08,4.1807778565771007e-08,7.893048504595359
Ccdc9b,1351.2770869661388,0.6226732146070324,0.109463921157144,5.688387626030096,1.2824445937154024e-08,4.19054760901628e-08,7.891961388916695
Zfp423,118.00231342886656,0.738025484968949,0.1297457122421856,5.688245663111684,1.2835109280377238e-08,4.1933230590116846e-08,7.891600429317214
Cul9,1431.9528725560024,0.3873296549129075,0.0681016669625432,5.687520910845599,1.2889682410692647e-08,4.2097293280477775e-08,7.8897577831107455
Sema3c,473.2754549581359,0.7923636529469359,0.1393374647227229,5.686651860098892,1.2955418358980296e-08,4.2304836297072336e-08,7.887548558126789
Plod2,814.6433347809574,0.6731408534796984,0.1183729890950559,5.686608563539379,1.2958701861846851e-08,4.2308410403002695e-08,7.887438501742722
Ccdc184,24.331087907162225,0.8680078948736178,0.1527034008209991,5.684273501486111,1.3136989858180042e-08,4.2854302106144105e-08,7.881504135365532
Vav3,157.05304904282062,0.6303221025827486,0.1108952446147498,5.683941676421638,1.3162518160290255e-08,4.293033260244517e-08,7.880661016611136
Gm5069,57.01391527985432,0.782887421668479,0.1377444891064582,5.683620642444803,1.318726213887613e-08,4.3003779757077424e-08,7.87984536073872
Pappa,37.25964969785759,1.0693396586422874,0.188158483911227,5.683185984570329,1.3220835806763812e-08,4.310599097050118e-08,7.878741088360861
Clip4,6360.94505305556,0.7259318483055087,0.1277377066212476,5.682987956390621,1.3236159341150071e-08,4.3148673932492586e-08,7.878238013303838
Niban1,853.2666548999309,0.6375142789033283,0.1122262209372702,5.6806178946333095,1.3420900476462261e-08,4.3721416553019154e-08,7.872218344164132
Dnm3,162.85468007090967,0.7668164986471001,0.1349909534297375,5.680502871966351,1.3429929690289528e-08,4.3743458216028994e-08,7.87192626098722
Cluap1,297.86400330472605,0.2667376513030203,0.0469621028456891,5.679848966292732,1.3481373165559248e-08,4.390361929973532e-08,7.870265869829438
S100a16,859.3623978242624,0.2681802151643745,0.0472287409655899,5.678326579990057,1.3601883748526416e-08,4.427369637782394e-08,7.866400941266727
Rragb,63.51067113338534,0.9301032775858546,0.1638884395259037,5.675222000261007,1.3850891047030852e-08,4.506902729916032e-08,7.85852228693448
Vldlr,14147.23733761177,0.7081616362559208,0.1247913732790128,5.6747643498768845,1.3887970064704801e-08,4.5182071269250036e-08,7.857361228281317
Rasl12,227.26629620693265,0.7183308919690325,0.1265862961066483,5.674633937972577,1.3898553731839162e-08,4.5208893727530694e-08,7.857030389599178
Amotl1,4006.3337926774047,0.6840730162272742,0.1205642517749849,5.673929097192039,1.3955891320992991e-08,4.538776164431307e-08,7.855242421201343
Cep20,1080.9241730927274,0.3730582275677335,0.0657565863680875,5.673321079647513,1.4005537061750266e-08,4.5541557928921465e-08,7.853700232896642
Mbd3,1944.5900235906895,0.1672135008255479,0.0294741899023977,5.673217868897058,1.4013981423533037e-08,4.5561351211782426e-08,7.85343846252836
Casq2,21396.64896856432,0.7284827916045701,0.1284144900076306,5.672901800733563,1.4039871850572578e-08,4.5637847818342885e-08,7.852636856226383
Rasd1,105.65257622935692,0.8642511622558402,0.1523867560217365,5.671432247908491,1.4160860419245611e-08,4.6000186585408254e-08,7.8489103579472435
Dzip1,85.2308040419558,0.565302024310566,0.0996933958591303,5.670405942529577,1.4245956374258038e-08,4.626106263468739e-08,7.846308389940067
Cdc42ep3,675.191474802002,0.667125982378393,0.1177221043832168,5.666955971214377,1.45356673949091e-08,4.7178065391906486e-08,7.837565023111157
Mrpl58,986.7364699019724,0.1597731327652473,0.0282088176295132,5.663942915426773,1.479336384074162e-08,4.7998344185639415e-08,7.82993306120501
Klhdc2,2353.496993490293,0.3105723468524234,0.0548364208613912,5.663614473261299,1.48217211710603e-08,4.8082280428709894e-08,7.829101361019928
Ado,414.9148486428409,0.1883534744137564,0.0332592139976335,5.663196803964098,1.4857858547271e-08,4.817525415226538e-08,7.828043780624022
Uqcrc1,15409.467493799571,0.4277201695554881,0.0755562011757265,5.660953871419609,1.5053389092963862e-08,4.879287345108259e-08,7.8223657127828305
Pxdn,2529.6607465510533,0.6106472073083821,0.1078963889804418,5.659570381165147,1.5175240553532983e-08,4.9163099131526234e-08,7.81886441588737
Eml1,2572.571249886209,0.6605030062378648,0.116712828882668,5.659215122802582,1.5206684343758085e-08,4.9256711076949263e-08,7.8179654689308
Ttc21b,360.92319228839136,0.3403161526970731,0.0601454798950935,5.658216598997241,1.529540261794762e-08,4.952748229178952e-08,7.815439086678543
Iqsec2,1958.8505971260824,0.4810512300482537,0.0850324762781262,5.657264742882707,1.5380442428761138e-08,4.977782840976144e-08,7.813031171582312
Ifnlr1,166.34595989991425,0.8093210777458931,0.1431041816321143,5.655467705524209,1.5542245279049578e-08,5.025442000510303e-08,7.808486241528389
Usp28,4432.6756416687,0.5837010352628615,0.1032102506299624,5.655456039493523,1.5543301054972364e-08,5.025442000510303e-08,7.808456741152064
Gucy1b1,531.148283144088,0.6009697080812914,0.1062732802600384,5.654946441954062,1.5589487681167357e-08,5.0395319936712284e-08,7.807168156837966
Gucy1a2,55.85374559160098,0.7089374535397135,0.1254408309812301,5.651568536290967,1.5899026953948547e-08,5.1353006845908675e-08,7.7986294543878545
Gsn,40805.04732064603,0.9334083524917518,0.1651850200783923,5.650684015104889,1.5981062495568996e-08,5.1609352700811624e-08,7.796394350139479
Mafa,18.681872281113705,0.9334503664658158,0.1652274687105491,5.6494865759946045,1.6092775107644082e-08,5.1952757187330006e-08,7.793369057826738
Ldaf1,502.7133973774504,0.7187896472239113,0.1272628473233867,5.648071391938919,1.6225779832927203e-08,5.2355905277264935e-08,7.789794421245724
Mmrn1,306.98891439811973,0.991596479096276,0.1756401229641115,5.645614808063463,1.6459198913983628e-08,5.309135457434505e-08,7.783591306165231
Smarce1,1825.9846874266448,0.2130705966653973,0.0377412506571431,5.645562692159234,1.6464186007142897e-08,5.309857953379909e-08,7.783459736032843
Tiam1,238.77141527909143,0.4754739885772696,0.0842214114929611,5.645523865590967,1.6467902366463776e-08,5.3101704527696344e-08,7.783361716476089
Ccdc88a,319.65155903545644,0.6013786492125764,0.1065244770270272,5.645450379071051,1.647493849978369e-08,5.3115531496883936e-08,7.783176197933008
Plscr3,657.9404952316089,0.3656408351416448,0.0647741151910819,5.644860359157578,1.6531537219795527e-08,5.328911797601868e-08,7.781686760764043
Capn12,30.391991468311915,0.9317564907392,0.165067397633309,5.644703339959728,1.6546631354672846e-08,5.3328879576974616e-08,7.781290408715317
Cox14,2030.6903947790756,0.4712710218120928,0.0834974870363612,5.644134195402371,1.6601455048319157e-08,5.3496652746567634e-08,7.779853846191116
Rad51c,42.8009236565717,0.6371368281486639,0.1128868629199373,5.644029886812779,1.6611521838338508e-08,5.352016904340834e-08,7.779590578522899
Arhgef2,1282.2368991696897,0.6717619848667686,0.11903019980761,5.643626457424634,1.665051251939625e-08,5.3618978003147414e-08,7.778572393934241
Slc35f6,1698.852757055671,0.3456992597980236,0.0612563702591059,5.643482601658636,1.6664437390656922e-08,5.365488020766567e-08,7.778209344005112
Mgst3,5386.847113479814,0.6182587460532674,0.1096146835107572,5.640291302693891,1.6976271519981052e-08,5.4631597725306984e-08,7.770157687243012
Lpar4,43.28490208148919,0.9192941554867168,0.1630495563096051,5.638127304934971,1.7190940461255844e-08,5.5304010858048095e-08,7.764700363803842
Platr25,59.03089838999118,0.6923458089272222,0.1228179301603721,5.637172097129279,1.7286533711577723e-08,5.5583783659519914e-08,7.762292082541836
Cebpzos,537.4027468761568,0.2607874850951404,0.046266477621705,5.636640144241219,1.7339992935338507e-08,5.574640443350345e-08,7.760951083800069
Spindoc,300.3980225183243,0.5072269586740145,0.0900502908167101,5.632707613420515,1.7740208226873952e-08,5.698566471813524e-08,7.75104128691401
Stxbp1,517.1294780350303,0.5752097347230005,0.1021291095730765,5.632182020655138,1.7794372902407865e-08,5.7150156107965985e-08,7.749717312511089
Thsd7a,307.7473453748637,0.742959062387318,0.1319172601160604,5.632007985411952,1.781234337515895e-08,5.719836729607447e-08,7.749278941404088
Lbh,15435.179897285188,0.5702369145047065,0.1012773104184542,5.630450810241904,1.7973919874880512e-08,5.7707628462074846e-08,7.745357198662671
Rps13,4183.850447365434,0.2856129530734599,0.0507318245743392,5.629857697212145,1.8035836342639572e-08,5.7896801998096295e-08,7.743863714140086
Cd320,281.07671071031564,0.4698325538186255,0.0834584580277559,5.629537915286816,1.8069305017460144e-08,5.799460766812847e-08,7.743058550974566
Lonrf2,304.1646875896701,0.7788518264528086,0.1383580292699923,5.629249206296182,1.809957336735742e-08,5.8082110915537814e-08,7.74233166194773
Fbxo25,413.6009494951997,0.3133241581429476,0.0556686274589144,5.628379438206783,1.819105804012373e-08,5.8356310340167885e-08,7.740142040484388
