,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Enox1,5238.1,0.07145942931201155,0.04675745883540793,1.5283001063757042,0.12643804352670313,0.9999999759983075,0.8981222329537067
Prkar2b,3819.9,0.09921753719475379,0.06492457376403174,1.528196974467014,0.12646363977226702,0.9999999759983075,0.898034322837026
Usp17la,2418.8,0.08854107870514762,0.05795814767221657,1.527672678669674,0.1265938268231589,0.9999999759983075,0.8975874715856774
Tnfsf10,9423.8,0.12131920326575184,0.0794157475783094,1.5276466817380616,0.12660028479372307,0.9999999759983075,0.8975653173502333
Rimbp3,8342.9,0.09497005497283442,0.062177562860353044,1.5274007311307984,0.12666139476483262,0.9999999759983075,0.8973557339359286
Igf2bp3,7382.0,0.07490720493338124,0.049053384470773766,1.5270547739271956,0.1267473916802483,0.9999999759983075,0.8970609691980251
Elac1,10893.0,0.14002198727255163,0.09169868628540188,1.5269792070602723,0.12676618189273678,0.9999999759983075,0.8969965901156945
Kbtbd7,4205.5,0.06827961588898206,0.044716264866298774,1.5269525773929795,0.1267728040562777,0.9999999759983075,0.8969739035132853
Rs1,10187.2,0.12481530849238846,0.08174835388072614,1.5268235085748465,0.12680490421055884,0.9999999759983075,0.8968639496845967
9230110C19Rik,1777.3,0.1044345990415906,0.0684072248868297,1.526660366859834,0.12684548754160654,0.9999999759983075,0.8967249779545716
Utp14b,12427.0,0.11490049312262514,0.07528496758858243,1.5262076454695945,0.1269581600184176,0.9999999759983075,0.896339380358742
Eda2r,4273.8,0.13499030760022593,0.0884683432471935,1.5258600155203907,0.12704473038569644,0.9999999759983075,0.8960433440876469
H1f0,4664.0,0.11153651723912966,0.07310051644526717,1.5257965697498295,0.12706053525683447,0.9999999759983075,0.8959893194824193
Sesn2,6510.4,0.17723551157064432,0.11626156071861096,1.5244549486103085,0.12739510268006649,0.9999999759983075,0.8948472668193767
Aspm,10304.7,0.14216259645826454,0.09326550371170578,1.5242784395150561,0.12743917069112007,0.9999999759983075,0.894697063363879
B3glct,5226.8,0.12837820138178524,0.08422742155101633,1.5241853427037049,0.1274624184132163,0.9999999759983075,0.8946178456745215
Rad51,1904.0,0.784038995992601,0.5144039141408459,1.5241699653512508,0.12746625869480374,0.9999999759983075,0.8946047611277264
